trajectory_id,64_95_class,wait,k_sequence,pre3_sequence,local4_sequence,first_pre111_event,last_pre111_event,maintains_pre111_to_pass,break_event_if_any,break_type_if_any,pass_face
258,A_start,9,"1,2,2,2,1,1,3,1,1,1","1 | 1,2 | 1,2,2 | 2,2,2 | 2,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,2,2,2 | 1,2,2,2;2,2,2,1 | 1,2,2,2;2,2,1,1;2,2,2,1 | 1,2,2,2;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,1;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;2,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",9,9,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
259,A_start,8,"1,4,2,1,1,3,1,1,1","1 | 1,3+ | 1,3+,2 | 3+,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,3+,2,1 | 1,3+,2,1;3+,2,1,1 | 1,3+,2,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,2,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",8,8,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
313,A_start,12,"2,1,2,2,1,1,2,2,3,1,1,1,1","2 | 2,1 | 2,1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","2,1,2,2 | 1,2,2,1;2,1,2,2 | 1,2,2,1;2,1,2,2;2,2,1,1 | 1,2,2,1;2,1,1,2;2,1,2,2;2,2,1,1 | 1,1,2,2;1,2,2,1;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,3+,1 | 1,1,2,2;1,2,2,3+;2,2,3+,1;2,3+,1,1 | 1,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",11,12,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
322,Other_start,0,1,1,"1,2,2,1",,,0,,,START_IN_LAYER | k=1 | pre3=1
323,Other_start,0,1,1,"1,3+,1,2",,,0,,,START_IN_LAYER | k=1 | pre3=1
327,A_start,16,"1,1,2,2,1,1,1,1,2,1,2,2,5,3,1,1,1","1 | 1,1 | 1,1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,2 | 1,2,2 | 2,2,3+ | 2,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","1,1,2,2 | 1,1,2,2;1,2,2,1 | 1,1,2,2;1,2,2,1;2,2,1,1 | 1,1,2,2;1,2,2,1;2,1,1,1;2,2,1,1 | 1,1,1,1;1,2,2,1;2,1,1,1;2,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;2,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,1;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,1;1,2,1,2 | 1,1,1,2;1,1,2,1;1,2,1,2;2,1,2,2 | 1,1,2,1;1,2,1,2;1,2,2,3+;2,1,2,2 | 1,2,1,2;1,2,2,3+;2,1,2,2;2,2,3+,3+ | 1,2,2,3+;2,1,2,2;2,2,3+,3+;2,3+,3+,1 | 1,2,2,3+;2,2,3+,3+;2,3+,3+,1;3+,3+,1,1 | 2,2,3+,3+;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",6,16,0,8,"1,1,2","START_IN_LAYER | k=1 | pre3=1,1,1"
328,A_start,5,"3,2,1,1,1,1","3+ | 3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","3+,2,1,1 | 2,1,1,1;3+,2,1,1 | 1,1,1,1;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",4,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
330,A_start,5,"1,4,1,1,1,1","1 | 1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,3+,1,1 | 1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",4,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
332,A_start,5,"2,1,3,1,1,1","2 | 2,1 | 2,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","2,1,3+,1 | 1,3+,1,1;2,1,3+,1 | 1,3+,1,1;2,1,3+,1;3+,1,1,1 | 1,1,1,2;1,3+,1,1;2,1,3+,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",5,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
333,A_start,4,"3,3,1,1,1","3+ | 3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","3+,3+,1,1 | 3+,1,1,1;3+,3+,1,1 | 1,1,1,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",4,4,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
