trajectory_id,64_95_class,wait,k_sequence,pre3_sequence,local4_sequence,first_pre111_event,last_pre111_event,maintains_pre111_to_pass,break_event_if_any,break_type_if_any,pass_face
1107,A_start,13,"1,3,1,1,1,2,1,2,2,5,3,1,1,1","1 | 1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,2 | 1,2,2 | 2,2,3+ | 2,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","1,3+,1,1 | 1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,2;3+,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,2;2,1,2,2 | 1,1,2,1;1,2,1,2;1,2,2,3+;2,1,2,2 | 1,2,1,2;1,2,2,3+;2,1,2,2;2,2,3+,3+ | 1,2,2,3+;2,1,2,2;2,2,3+,3+;2,3+,3+,1 | 1,2,2,3+;2,2,3+,3+;2,3+,3+,1;3+,3+,1,1 | 2,2,3+,3+;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",4,13,0,5,"1,1,2","START_IN_LAYER | k=1 | pre3=1,1,1"
1113,A_start,14,"2,1,4,1,2,2,1,1,2,2,3,1,1,1,1","2 | 2,1 | 2,1,3+ | 1,3+,1 | 3+,1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","2,1,3+,1 | 1,3+,1,2;2,1,3+,1 | 1,3+,1,2;2,1,3+,1;3+,1,2,2 | 1,2,2,1;1,3+,1,2;2,1,3+,1;3+,1,2,2 | 1,2,2,1;1,3+,1,2;2,2,1,1;3+,1,2,2 | 1,2,2,1;2,1,1,2;2,2,1,1;3+,1,2,2 | 1,1,2,2;1,2,2,1;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,3+,1 | 1,1,2,2;1,2,2,3+;2,2,3+,1;2,3+,1,1 | 1,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",13,14,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1127,A_start,14,"1,1,2,1,1,1,2,1,3,1,1,7,1,1,1","1 | 1,1 | 1,1,2 | 1,2,1 | 2,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,1,2,1 | 1,1,2,1;1,2,1,1 | 1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,3+,1 | 1,1,2,1;1,2,1,3+;1,3+,1,1;2,1,3+,1 | 1,2,1,3+;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,1;3+,1,1,3+ | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,2;3+,1,1,1",5,14,0,6,"1,1,2","START_IN_LAYER | k=1 | pre3=1,1,1"
1136,Other_start,2,"4,1,1","3+ | 3+,1 | 3+,1,1","3+,1,1,2 | 1,1,2,2;3+,1,1,2 | 1,1,2,2;1,2,2,1;3+,1,1,2",,,0,,,"START_IN_LAYER | k=1 | pre3=3+,1,1"
1140,Other_start,2,"2,3,1","2 | 2,3+ | 2,3+,1","2,3+,1,2 | 2,3+,1,2;3+,1,2,2 | 1,2,2,1;2,3+,1,2;3+,1,2,2",,,0,,,"START_IN_LAYER | k=1 | pre3=2,3+,1"
1141,Other_start,1,"5,1","3+ | 3+,1","3+,1,2,2 | 1,2,2,1;3+,1,2,2",,,0,,,"START_IN_LAYER | k=1 | pre3=3+,1"
1144,A_start,3,"3,1,1,1","3+ | 3+,1 | 3+,1,1 | 1,1,1","3+,1,1,1 | 1,1,1,3+;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,2;3+,1,1,1",3,3,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1145,A_inflow,17,"1,2,1,1,2,2,2,1,1,6,2,2,1,1,3,1,1,1","2,1 | 2,1,2 | 1,2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,2 | 2,2,1 | 2,1,1 | 1,1,3+ | 1,3+,2 | 3+,2,2 | 2,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,2,1,1;2,1,2,1 | 1,2,1,1;2,1,1,2;2,1,2,1 | 1,1,2,2;1,2,1,1;2,1,1,2;2,1,2,1 | 1,1,2,2;1,2,1,1;1,2,2,2;2,1,1,2 | 1,1,2,2;1,2,2,2;2,1,1,2;2,2,2,1 | 1,1,2,2;1,2,2,2;2,2,1,1;2,2,2,1 | 1,2,2,2;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,2;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,2;1,3+,2,2;2,1,1,3+;2,2,1,1 | 1,1,3+,2;1,3+,2,2;2,1,1,3+;3+,2,2,1 | 1,1,3+,2;1,3+,2,2;2,2,1,1;3+,2,2,1 | 1,3+,2,2;2,1,1,3+;2,2,1,1;3+,2,2,1 | 1,1,3+,1;2,1,1,3+;2,2,1,1;3+,2,2,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;2,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",17,17,1,,,"INFLOW_FROM_96-127 | k=1 | pre3=1,1,1"
1146,Other_start,3,"1,3,1,1","1 | 1,3+ | 1,3+,1 | 3+,1,1","1,3+,1,1 | 1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;1,3+,1,2;3+,1,1,3+",,,0,,,"START_IN_LAYER | k=1 | pre3=3+,1,1"
1153,A_inflow,17,"2,2,1,1,2,1,1,3,1,1,3,1,2,6,1,1,1,1","2,2 | 2,2,2 | 2,2,1 | 2,1,1 | 1,1,2 | 1,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,2 | 1,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","2,2,1,1;2,2,2,1 | 2,1,1,2;2,2,1,1;2,2,2,1 | 1,1,2,1;2,1,1,2;2,2,1,1;2,2,2,1 | 1,1,2,1;1,2,1,1;2,1,1,2;2,2,1,1 | 1,1,2,1;1,2,1,1;2,1,1,2;2,1,1,3+ | 1,1,2,1;1,1,3+,1;1,2,1,1;2,1,1,3+ | 1,1,3+,1;1,2,1,1;1,3+,1,1;2,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;1,3+,1,2;3+,1,1,3+ | 1,1,3+,1;1,3+,1,2;3+,1,1,3+;3+,1,2,3+ | 1,1,3+,1;1,2,3+,1;1,3+,1,2;3+,1,2,3+ | 1,2,3+,1;1,3+,1,2;2,3+,1,1;3+,1,2,3+ | 1,2,3+,1;2,3+,1,1;3+,1,1,1;3+,1,2,3+ | 1,1,1,1;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",16,17,1,,,"INFLOW_FROM_96-127 | k=1 | pre3=1,1,1"
1287,A_start,16,"1,1,2,3,1,1,1,2,2,3,4,3,2,1,1,1,1","1 | 1,1 | 1,1,2 | 1,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,2 | 1,2,2 | 2,2,3+ | 2,3+,3+ | 3+,3+,3+ | 3+,3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","1,1,2,3+ | 1,1,2,3+;1,2,3+,1 | 1,1,2,3+;1,2,3+,1;2,3+,1,1 | 1,1,2,3+;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,2;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;2,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,3+;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,3+;2,2,3+,3+ | 1,1,2,2;1,2,2,3+;2,2,3+,3+;2,3+,3+,3+ | 1,2,2,3+;2,2,3+,3+;2,3+,3+,3+;3+,3+,3+,2 | 2,2,3+,3+;2,3+,3+,3+;3+,3+,2,1;3+,3+,3+,2 | 2,3+,3+,3+;3+,2,1,1;3+,3+,2,1;3+,3+,3+,2 | 2,1,1,1;3+,2,1,1;3+,3+,2,1;3+,3+,3+,2 | 1,1,1,1;2,1,1,1;3+,2,1,1;3+,3+,2,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",6,16,0,7,"1,1,2","START_IN_LAYER | k=1 | pre3=1,1,1"
1289,A_start,16,"2,1,1,2,2,2,1,1,6,2,2,1,1,3,1,1,1","2 | 2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,2 | 2,2,1 | 2,1,1 | 1,1,3+ | 1,3+,2 | 3+,2,2 | 2,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","2,1,1,2 | 1,1,2,2;2,1,1,2 | 1,1,2,2;1,2,2,2;2,1,1,2 | 1,1,2,2;1,2,2,2;2,1,1,2;2,2,2,1 | 1,1,2,2;1,2,2,2;2,2,1,1;2,2,2,1 | 1,2,2,2;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,2;2,1,1,3+;2,2,1,1;2,2,2,1 | 1,1,3+,2;1,3+,2,2;2,1,1,3+;2,2,1,1 | 1,1,3+,2;1,3+,2,2;2,1,1,3+;3+,2,2,1 | 1,1,3+,2;1,3+,2,2;2,2,1,1;3+,2,2,1 | 1,3+,2,2;2,1,1,3+;2,2,1,1;3+,2,2,1 | 1,1,3+,1;2,1,1,3+;2,2,1,1;3+,2,2,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;2,2,1,1 | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,1 | 1,1,1,2;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",16,16,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1298,A_start,17,"1,2,1,1,2,1,1,3,1,1,3,1,2,6,1,1,1,1","1 | 1,2 | 1,2,1 | 2,1,1 | 1,1,2 | 1,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,2 | 1,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,2,1,1 | 1,2,1,1;2,1,1,2 | 1,1,2,1;1,2,1,1;2,1,1,2 | 1,1,2,1;1,2,1,1;2,1,1,2 | 1,1,2,1;1,2,1,1;2,1,1,2;2,1,1,3+ | 1,1,2,1;1,1,3+,1;1,2,1,1;2,1,1,3+ | 1,1,3+,1;1,2,1,1;1,3+,1,1;2,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;1,3+,1,2;3+,1,1,3+ | 1,1,3+,1;1,3+,1,2;3+,1,1,3+;3+,1,2,3+ | 1,1,3+,1;1,2,3+,1;1,3+,1,2;3+,1,2,3+ | 1,2,3+,1;1,3+,1,2;2,3+,1,1;3+,1,2,3+ | 1,2,3+,1;2,3+,1,1;3+,1,1,1;3+,1,2,3+ | 1,1,1,1;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",16,17,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1299,A_start,16,"1,3,1,2,1,1,3,1,1,3,1,2,6,1,1,1,1","1 | 1,3+ | 1,3+,1 | 3+,1,2 | 1,2,1 | 2,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,2 | 1,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,3+,1,2 | 1,3+,1,2;3+,1,2,1 | 1,2,1,1;1,3+,1,2;3+,1,2,1 | 1,2,1,1;1,3+,1,2;2,1,1,3+;3+,1,2,1 | 1,1,3+,1;1,2,1,1;2,1,1,3+;3+,1,2,1 | 1,1,3+,1;1,2,1,1;1,3+,1,1;2,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,1,3+;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;1,3+,1,2;3+,1,1,3+ | 1,1,3+,1;1,3+,1,2;3+,1,1,3+;3+,1,2,3+ | 1,1,3+,1;1,2,3+,1;1,3+,1,2;3+,1,2,3+ | 1,2,3+,1;1,3+,1,2;2,3+,1,1;3+,1,2,3+ | 1,2,3+,1;2,3+,1,1;3+,1,1,1;3+,1,2,3+ | 1,1,1,1;1,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",15,16,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1308,A_start,17,"2,1,1,2,2,1,1,1,1,2,1,2,2,5,3,1,1,1","2 | 2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,2 | 1,2,2 | 2,2,3+ | 2,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","2,1,1,2 | 1,1,2,2;2,1,1,2 | 1,1,2,2;1,2,2,1;2,1,1,2 | 1,1,2,2;1,2,2,1;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,1;2,1,1,1;2,2,1,1 | 1,1,1,1;1,2,2,1;2,1,1,1;2,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;2,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,1;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,1;1,2,1,2 | 1,1,1,2;1,1,2,1;1,2,1,2;2,1,2,2 | 1,1,2,1;1,2,1,2;1,2,2,3+;2,1,2,2 | 1,2,1,2;1,2,2,3+;2,1,2,2;2,2,3+,3+ | 1,2,2,3+;2,1,2,2;2,2,3+,3+;2,3+,3+,1 | 1,2,2,3+;2,2,3+,3+;2,3+,3+,1;3+,3+,1,1 | 2,2,3+,3+;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",7,17,0,9,"1,1,2","START_IN_LAYER | k=1 | pre3=1,1,1"
1309,A_start,16,"3,1,2,2,1,1,1,1,2,1,2,2,5,3,1,1,1","3+ | 3+,1 | 3+,1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,2 | 1,2,2 | 2,2,3+ | 2,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","3+,1,2,2 | 1,2,2,1;3+,1,2,2 | 1,2,2,1;2,2,1,1;3+,1,2,2 | 1,2,2,1;2,1,1,1;2,2,1,1;3+,1,2,2 | 1,1,1,1;1,2,2,1;2,1,1,1;2,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;2,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,1;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,1;1,2,1,2 | 1,1,1,2;1,1,2,1;1,2,1,2;2,1,2,2 | 1,1,2,1;1,2,1,2;1,2,2,3+;2,1,2,2 | 1,2,1,2;1,2,2,3+;2,1,2,2;2,2,3+,3+ | 1,2,2,3+;2,1,2,2;2,2,3+,3+;2,3+,3+,1 | 1,2,2,3+;2,2,3+,3+;2,3+,3+,1;3+,3+,1,1 | 2,2,3+,3+;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",6,16,0,8,"1,1,2","START_IN_LAYER | k=1 | pre3=1,1,1"
1310,A_start,17,"1,1,1,1,4,1,1,1,1,2,1,2,2,5,3,1,1,1","1 | 1,1 | 1,1,1 | 1,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,2 | 1,2,2 | 2,2,3+ | 2,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","1,1,1,1 | 1,1,1,1;1,1,1,3+ | 1,1,1,1;1,1,1,3+;1,1,3+,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,1;1,2,1,2 | 1,1,1,2;1,1,2,1;1,2,1,2;2,1,2,2 | 1,1,2,1;1,2,1,2;1,2,2,3+;2,1,2,2 | 1,2,1,2;1,2,2,3+;2,1,2,2;2,2,3+,3+ | 1,2,2,3+;2,1,2,2;2,2,3+,3+;2,3+,3+,1 | 1,2,2,3+;2,2,3+,3+;2,3+,3+,1;3+,3+,1,1 | 2,2,3+,3+;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",2,17,0,4,"1,1,3+","START_IN_LAYER | k=1 | pre3=1,1,1"
1312,A_start,5,"5,2,1,1,1,1","3+ | 3+,2 | 3+,2,1 | 2,1,1 | 1,1,1 | 1,1,1","3+,2,1,1 | 2,1,1,1;3+,2,1,1 | 1,1,1,1;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;2,1,1,1;3+,2,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;2,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",4,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1319,A_start,17,"1,1,2,1,3,4,1,2,2,1,1,2,2,3,1,1,1,1","1 | 1,1 | 1,1,2 | 1,2,1 | 2,1,3+ | 1,3+,3+ | 3+,3+,1 | 3+,1,2 | 1,2,2 | 2,2,1 | 2,1,1 | 1,1,2 | 1,2,2 | 2,2,3+ | 2,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,1,2,1 | 1,1,2,1;1,2,1,3+ | 1,1,2,1;1,2,1,3+;2,1,3+,3+ | 1,1,2,1;1,2,1,3+;1,3+,3+,1;2,1,3+,3+ | 1,2,1,3+;1,3+,3+,1;2,1,3+,3+;3+,3+,1,2 | 1,3+,3+,1;2,1,3+,3+;3+,1,2,2;3+,3+,1,2 | 1,2,2,1;1,3+,3+,1;3+,1,2,2;3+,3+,1,2 | 1,2,2,1;2,2,1,1;3+,1,2,2;3+,3+,1,2 | 1,2,2,1;2,1,1,2;2,2,1,1;3+,1,2,2 | 1,1,2,2;1,2,2,1;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,1,1 | 1,1,2,2;1,2,2,3+;2,1,1,2;2,2,3+,1 | 1,1,2,2;1,2,2,3+;2,2,3+,1;2,3+,1,1 | 1,2,2,3+;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;2,2,3+,1;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;2,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;3+,1,1,1 | 1,1,1,1;1,1,1,3+;1,1,3+,1;1,3+,1,2",16,17,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1320,A_start,5,"3,4,1,1,1,1","3+ | 3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","3+,3+,1,1 | 3+,1,1,1;3+,3+,1,1 | 1,1,1,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,1;1,1,1,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",4,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1322,A_start,5,"1,6,1,1,1,1","1 | 1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1 | 1,1,1","1,3+,1,1 | 1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,3+,1,1;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;3+,1,1,1 | 1,1,1,1;1,1,1,2;1,1,2,2;1,2,2,1",4,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1328,A_start,5,"4,1,3,1,1,1","3+ | 3+,1 | 3+,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","3+,1,3+,1 | 1,3+,1,1;3+,1,3+,1 | 1,3+,1,1;3+,1,1,1;3+,1,3+,1 | 1,1,1,2;1,3+,1,1;3+,1,1,1;3+,1,3+,1 | 1,1,1,2;1,1,2,2;1,3+,1,1;3+,1,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",5,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1332,A_start,5,"2,3,3,1,1,1","2 | 2,3+ | 2,3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","2,3+,3+,1 | 2,3+,3+,1;3+,3+,1,1 | 2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;2,3+,3+,1;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",5,5,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1333,A_start,4,"5,3,1,1,1","3+ | 3+,3+ | 3+,3+,1 | 3+,1,1 | 1,1,1","3+,3+,1,1 | 3+,1,1,1;3+,3+,1,1 | 1,1,1,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;3+,1,1,1;3+,3+,1,1 | 1,1,1,2;1,1,2,2;1,2,2,1;3+,1,1,1",4,4,1,,,"START_IN_LAYER | k=1 | pre3=1,1,1"
1334,A_start,18,"1,1,2,1,1,1,2,1,1,1,2,1,3,1,1,7,1,1,1","1 | 1,1 | 1,1,2 | 1,2,1 | 2,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,1 | 1,1,1 | 1,1,2 | 1,2,1 | 2,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,3+ | 1,3+,1 | 3+,1,1 | 1,1,1","1,1,2,1 | 1,1,2,1;1,2,1,1 | 1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,1;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,1,1 | 1,1,1,2;1,1,2,1;1,2,1,3+;2,1,3+,1 | 1,1,2,1;1,2,1,3+;1,3+,1,1;2,1,3+,1 | 1,2,1,3+;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;2,1,3+,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,3+ | 1,1,3+,1;1,3+,1,1;3+,1,1,1;3+,1,1,3+ | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,1;3+,1,1,1 | 1,1,1,3+;1,1,3+,1;1,3+,1,2;3+,1,1,1",5,18,0,6,"1,1,2","START_IN_LAYER | k=1 | pre3=1,1,1"
