64_95_class,count,median_wait,mean_wait,share_first_pre111_present,share_maintains_pre111_to_pass,break_type_counts,pass_face_counts
A_start,365,10.0,10.457534246575342,1.0,0.7287671232876712,"1,1,2: 59 (0.596); 1,1,3+: 40 (0.404)","START_IN_LAYER | k=1 | pre3=1,1,1: 365 (1.000)"
A_inflow,104,17.0,16.557692307692307,1.0,0.5480769230769231,"1,1,2: 29 (0.617); 1,1,3+: 18 (0.383)","INFLOW_FROM_96-127 | k=1 | pre3=1,1,1: 104 (1.000)"
Other_start,66,3.0,4.651515151515151,0.12121212121212122,0.0,"1,1,3+: 5 (0.625); 1,1,2: 3 (0.375)","START_IN_LAYER | k=1 | pre3=3+,1,1: 28 (0.424); START_IN_LAYER | k=5 | pre3=2,3+,3+: 7 (0.106); START_IN_LAYER | k=3 | pre3=2,2,3+: 5 (0.076); START_IN_LAYER | k=1 | pre3=3+,1: 4 (0.061); START_IN_LAYER | k=1 | pre3=2,3+,1: 4 (0.061); START_IN_LAYER | k=1 | pre3=1,3+,1: 3 (0.045); START_IN_LAYER | k=1 | pre3=1: 2 (0.030); START_IN_LAYER | k=1 | pre3=3+,3+,1: 2 (0.030); START_IN_LAYER | k=1 | pre3=2,1: 1 (0.015); START_IN_LAYER | k=3 | pre3=3+: 1 (0.015); START_IN_LAYER | k=2 | pre3=2: 1 (0.015); START_IN_LAYER | k=4 | pre3=3+: 1 (0.015); START_IN_LAYER | k=1 | pre3=1,1: 1 (0.015); START_IN_LAYER | k=3 | pre3=1,3+: 1 (0.015); START_IN_LAYER | k=1 | pre3=2,1,1: 1 (0.015); START_IN_LAYER | k=5 | pre3=2,3+: 1 (0.015); START_IN_LAYER | k=5 | pre3=1,2,3+: 1 (0.015); START_IN_LAYER | k=7 | pre3=1,3+: 1 (0.015); START_IN_LAYER | k=3 | pre3=3+,2,3+: 1 (0.015)"
Other_inflow,3,17.0,17.0,1.0,0.0,"1,1,3+: 2 (0.667); 1,1,2: 1 (0.333)","INFLOW_FROM_96-127 | k=1 | pre3=3+,1,1: 2 (0.667); INFLOW_FROM_96-127 | k=5 | pre3=2,3+,3+: 1 (0.333)"
