class,count,median_first_1,mean_first_1,share_ever_1,median_first_11,mean_first_11,share_ever_11,median_first_111,mean_first_111,share_ever_111,median_first_1111,mean_first_1111,share_ever_1111,median_distance_first_111_to_pass,median_distance_first_1111_to_pass,median_longest_run_before_pass,share_ever_reaching_111,share_ever_reaching_1111,share_losing_111_before_pass,share_maintaining_111_until_pass,share_losing_1111_before_pass,share_maintaining_1111_until_pass
A_start,365,1.0,0.947945205479452,1.0,3.0,3.712328767123288,1.0,6.0,7.115068493150685,1.0,8.0,9.01673640167364,0.6547945205479452,1.0,0.0,4.0,1.0,0.6547945205479452,0.0,1.0,0.09041095890410959,0.5643835616438356
A_inflow,104,0.0,0.6153846153846154,1.0,3.0,3.5865384615384617,1.0,15.0,10.89423076923077,1.0,16.0,13.486486486486486,0.7115384615384616,1.0,0.0,4.0,1.0,0.7115384615384616,0.0,1.0,0.16346153846153846,0.5480769230769231
Other_start,66,0.0,0.7833333333333333,0.9090909090909091,3.0,2.918918918918919,0.5606060606060606,4.5,4.125,0.12121212121212122,6.0,5.428571428571429,0.10606060606060606,11.0,10.0,2.0,0.12121212121212122,0.10606060606060606,0.12121212121212122,0.0,0.10606060606060606,0.0
